Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
19,0.0,0.0,446.0,19.0,28.0,446.0,0.0,120.24484915088263,120.24484915088263,0.0,37.24560785293579,,,,,,,,,,,,,,,,69.2169413185754,44.40566108418529,118.42519999395647,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,464.0,20.0,18.0,464.0,0.0,17.0143760530212,17.0143760530212,0.0,38.90355706214905,,,,,,,,,,,,,,,,6.749188380021648,6.504893207701308,16.909800462643446,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,33.0,1.0,33.0,497.0,0.0,131.86228461038124,131.86228461038124,0.0,71.94976496696472,,,,,,,,,,,,,,,,76.33903347665746,45.096737409856054,129.4725690747263,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,88.0,2.0,55.0,552.0,0.0,256.4348458012718,256.4348458012718,0.0,76.12804579734802,,,,,,,,,,,,,,,,161.52104962549453,69.07871453489683,247.79898705892856,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,105.0,3.0,17.0,569.0,0.0,25.646350137430126,25.646350137430126,0.0,77.74170255661011,,,,,,,,,,,,,,,,12.548732870256242,9.893278531852808,25.45848015879456,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,131.0,4.0,26.0,595.0,0.0,53.06134396459696,53.06134396459696,0.0,79.9253180027008,,,,,,,,,,,,,,,,27.24380219545819,19.688426946038003,52.40541051803309,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,154.0,5.0,23.0,618.0,0.0,31.72001888778684,31.72001888778684,0.0,81.95261430740356,,,,,,,,,,,,,,,,13.31288225862451,12.524111794987768,31.445267863702174,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,172.0,6.0,18.0,636.0,0.0,26.16898426992757,26.16898426992757,0.0,83.71953463554382,,,,,,,,,,,,,,,,12.765484121427722,9.923237315254664,25.965170726468337,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,188.0,7.0,16.0,652.0,0.0,17.15089665977264,17.15089665977264,0.0,85.28512716293335,,,,,,,,,,,,,,,,7.856989803446895,6.50184045258048,17.042227049967455,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,241.0,8.0,53.0,705.0,0.0,193.2674084084859,193.2674084084859,0.0,89.32921051979065,,,,,,,,,,,,,,,,91.9700369869062,69.0458857422218,188.58157802620596,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,262.0,9.0,21.0,726.0,0.0,33.942405193826474,33.942405193826474,0.0,91.39210081100464,,,,,,,,,,,,,,,,17.11655297179844,12.55192238317583,33.61657415557429,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,294.0,10.0,32.0,758.0,0.0,121.16261113559716,121.16261113559716,0.0,94.02644896507263,,,,,,,,,,,,,,,,71.62838504786097,42.197173111330834,118.98949230637199,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,308.0,11.0,14.0,772.0,0.0,11.56948275271789,11.56948275271789,0.0,95.38993215560913,,,,,,,,,,,,,,,,4.8983224660585,4.40318412488003,11.512418656849924,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,327.0,12.0,19.0,791.0,0.0,29.17379201263294,29.17379201263294,0.0,97.14856767654419,,,,,,,,,,,,,,,,14.395075293853504,10.961831743580628,28.92921479684657,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,339.0,13.0,12.0,803.0,0.0,9.741015113411757,9.741015113411757,0.0,98.43809843063354,,,,,,,,,,,,,,,,4.231453044608801,3.665399892412408,9.699937614490944,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,358.0,14.0,19.0,822.0,0.0,26.21652229283746,26.21652229283746,0.0,100.1187493801117,,,,,,,,,,,,,,,,12.285613999627328,10.095935627500715,26.009104731576116,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,381.0,15.0,23.0,845.0,0.0,30.00688409318051,30.00688409318051,0.0,102.11670541763306,,,,,,,,,,,,,,,,12.425051728645744,11.79844014119835,29.75085876218384,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,408.0,16.0,27.0,872.0,0.0,76.00935044719513,76.00935044719513,0.0,104.37350916862488,,,,,,,,,,,,,,,,43.068151682654346,27.80740697155499,74.921431783547,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,424.0,17.0,16.0,888.0,0.0,20.643617734074095,20.643617734074095,0.0,105.8821964263916,,,,,,,,,,,,,,,,9.724093855548901,7.893213183807023,20.508540773158465,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,438.0,18.0,14.0,902.0,0.0,15.800973570851928,15.800973570851928,0.0,107.30656290054321,,,,,,,,,,,,,,,,7.509248808324684,5.9299100694751505,15.711555643178565,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,462.0,19.0,24.0,926.0,0.0,73.89323308242449,73.89323308242449,0.0,109.34598517417908,,,,,,,,,,,,,,,,45.20738685545982,25.186581139701364,72.88113693482829,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,481.0,20.0,19.0,945.0,0.0,21.24672971402776,21.24672971402776,0.0,111.11949849128723,,,,,,,,,,,,,,,,8.49133417145402,8.387172150219522,21.10650086563577,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,34.0,1.0,34.0,979.0,0.0,122.9389570039024,122.9389570039024,0.0,142.08629608154297,,,,,,,,,,,,,,,,66.86545613216228,45.8543528214242,120.78631781322208,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,51.0,2.0,17.0,996.0,0.0,19.23082450242319,19.23082450242319,0.0,143.65009427070618,,,,,,,,,,,,,,,,8.374035976017618,7.428854565379286,19.10757346429518,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,73.0,3.0,22.0,1018.0,0.0,43.70626819682801,43.70626819682801,0.0,145.6791970729828,,,,,,,,,,,,,,,,24.06625566825461,15.673207256440762,43.22003060272914,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,100.0,4.0,27.0,1045.0,0.0,63.04863130197087,63.04863130197087,0.0,148.01734590530396,,,,,,,,,,,,,,,,30.264644862283063,24.47947315115457,62.29377967035959,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,114.0,5.0,14.0,1059.0,0.0,11.00504783264074,11.00504783264074,0.0,149.44971680641174,,,,,,,,,,,,,,,,4.590387264330675,4.157883967137164,10.951734145085197,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,128.0,6.0,14.0,1073.0,0.0,12.741076058294269,12.741076058294269,0.0,150.89809036254883,,,,,,,,,,,,,,,,5.441754640214851,4.875996984365136,12.677569062393657,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,140.0,7.0,12.0,1085.0,0.0,9.776866323382128,9.776866323382128,0.0,152.37638306617737,,,,,,,,,,,,,,,,4.288018658502914,3.6811578416660247,9.73514524472482,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,159.0,8.0,19.0,1104.0,0.0,20.095857676325494,20.095857676325494,0.0,154.13054990768433,,,,,,,,,,,,,,,,8.045368901497596,7.9036755269563,19.962958625822857,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,194.0,9.0,35.0,1139.0,0.0,181.7753759938374,181.7753759938374,0.0,156.9166510105133,,,,,,,,,,,,,,,,110.91935457144733,62.24431995489243,178.07126985369047,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,213.0,10.0,19.0,1158.0,0.0,20.407553872560083,20.407553872560083,0.0,158.66521406173706,,,,,,,,,,,,,,,,8.962597075349871,7.653826665303682,20.25752205017862,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,225.0,11.0,12.0,1170.0,0.0,9.343753153864633,9.343753153864633,0.0,159.95810317993164,,,,,,,,,,,,,,,,4.0910882106538216,3.5180290375014978,9.303964059396185,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,247.0,12.0,22.0,1192.0,0.0,33.46686748425836,33.46686748425836,0.0,161.88955926895142,,,,,,,,,,,,,,,,15.342331954952988,12.842103870706222,33.162498679929335,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,261.0,13.0,14.0,1206.0,0.0,10.665328625064015,10.665328625064015,0.0,163.32351446151733,,,,,,,,,,,,,,,,4.124132375262234,4.1266250014815,10.61820898079114,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,286.0,14.0,25.0,1231.0,0.0,62.124647050859586,62.124647050859586,0.0,165.45594811439514,,,,,,,,,,,,,,,,33.83421291073956,22.830159683653974,61.34013185995104,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,304.0,15.0,18.0,1249.0,0.0,26.313626330626192,26.313626330626192,0.0,167.68131160736084,,,,,,,,,,,,,,,,12.892785324397472,9.979008307802562,26.107663858645683,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,333.0,16.0,29.0,1278.0,0.0,106.86498676178203,106.86498676178203,0.0,170.07046747207642,,,,,,,,,,,,,,,,63.27243258174069,37.79081632121344,105.13522143834993,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,360.0,17.0,27.0,1305.0,0.0,110.67505239812314,110.67505239812314,0.0,172.42147135734558,,,,,,,,,,,,,,,,67.62399688645833,37.70169659031415,108.95816264483359,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,373.0,18.0,13.0,1318.0,0.0,11.89536870563941,11.89536870563941,0.0,173.77279353141785,,,,,,,,,,,,,,,,5.448411538648922,4.461214305502921,11.836375731368344,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,400.0,19.0,27.0,1345.0,0.0,93.40492414347467,93.40492414347467,0.0,176.16494703292847,,,,,,,,,,,,,,,,52.50806298650371,34.47164676261943,92.07928572856764,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,423.0,20.0,23.0,1368.0,0.0,33.1633497182652,33.1633497182652,0.0,178.16638779640198,,,,,,,,,,,,,,,,14.665521412613947,12.85347714305237,32.858901627402496,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,31.0,1.0,31.0,1399.0,0.0,127.93308684172611,127.93308684172611,0.0,208.85206723213196,,,,,,,,,,,,,,,,75.85905845265424,44.40403161394652,125.70716319288668,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,58.0,2.0,27.0,1426.0,0.0,97.55450349536402,97.55450349536402,0.0,211.16078543663025,,,,,,,,,,,,,,,,57.805841424643184,34.272055568039164,96.08983561251118,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,82.0,3.0,24.0,1450.0,0.0,49.79406127322092,49.79406127322092,0.0,213.22100043296814,,,,,,,,,,,,,,,,25.83852940278815,18.207970299388098,49.22315972728128,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,116.0,4.0,34.0,1484.0,0.0,140.97510279027895,140.97510279027895,0.0,215.92594599723816,,,,,,,,,,,,,,,,81.89285815176072,49.77666047819821,138.32907468780687,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,131.0,5.0,15.0,1499.0,0.0,15.34424855912786,15.34424855912786,0.0,217.48050236701965,,,,,,,,,,,,,,,,6.910072930500272,5.869926323454093,15.255853318488846,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,147.0,6.0,16.0,1515.0,0.0,13.796472750593859,13.796472750593859,0.0,219.26954126358032,,,,,,,,,,,,,,,,5.237130074309047,5.337193087643501,13.726405074479398,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,162.0,7.0,15.0,1530.0,0.0,14.958419442991492,14.958419442991492,0.0,220.73790764808655,,,,,,,,,,,,,,,,6.666658221145188,5.700876239376283,14.873292862536852,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,182.0,8.0,20.0,1550.0,0.0,36.46655704281077,36.46655704281077,0.0,222.4753770828247,,,,,,,,,,,,,,,,18.917654277292428,13.671457398357061,36.124328285550476,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,201.0,9.0,19.0,1569.0,0.0,28.96807511772185,28.96807511772185,0.0,224.3058364391327,,,,,,,,,,,,,,,,13.616285631793687,11.242288464371626,28.73810379451228,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,232.0,10.0,31.0,1600.0,0.0,88.82651618312794,88.82651618312794,0.0,226.90841817855835,,,,,,,,,,,,,,,,52.51914210478709,30.066747156837245,87.28570848636592,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,244.0,11.0,12.0,1612.0,0.0,10.260611149838084,10.260611149838084,0.0,228.1513283252716,,,,,,,,,,,,,,,,4.479549156078591,3.8745493017181762,10.217073633598742,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,260.0,12.0,16.0,1628.0,0.0,19.539611628603872,19.539611628603872,0.0,229.67179417610168,,,,,,,,,,,,,,,,9.130369997151796,7.494052017181827,19.412938647296738,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,273.0,13.0,13.0,1641.0,0.0,9.345236758750001,9.345236758750001,0.0,231.03088903427124,,,,,,,,,,,,,,,,3.8419400619019717,3.5654777399732582,9.30459613407936,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,296.0,14.0,23.0,1664.0,0.0,49.99856193176767,49.99856193176767,0.0,233.07812023162842,,,,,,,,,,,,,,,,25.77886914249479,19.10332906080645,49.45510304453484,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
